"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"Snack Foods","Dairy","Frozen Desserts","Cleaning Supplies","","","","","","","","","","","","","",""
"Eggs","Electrical","Candy","Frozen Entrees","","","","","","","","","","","","","",""
"Vegetables","Seafood","","","","","","","","","","","","","","","",""
"Baking Goods","Vegetables","Snack Foods","Meat","Specialty","Electrical","Bathroom Products","","","","","","","","","","",""
"Canned Sardines","Cleaning Supplies","Snack Foods","Dairy","","","","","","","","","","","","","",""
"Bathroom Products","Jams and Jellies","Canned Oysters","Snack Foods","Dairy","","","","","","","","","","","","",""
"Frozen Desserts","Vegetables","Canned Shrimp","Snack Foods","","","","","","","","","","","","","",""
"Meat","Baking Goods","Fruit","Vegetables","Plastic Products","Drinks","","","","","","","","","","","",""
"Vegetables","Electrical","Meat","Candy","Canned Soup","Breakfast Foods","Carbonated Beverages","Cleaning Supplies","","","","","","","","","",""
"Breakfast Foods","Vegetables","Baking Goods","","","","","","","","","","","","","","",""
"Frozen Entrees","Vegetables","Snack Foods","Dairy","","","","","","","","","","","","","",""
"Snack Foods","Beer and Wine","Kitchen Products","Hot Beverages","","","","","","","","","","","","","",""
"Fruit","Meat","","","","","","","","","","","","","","","",""
"Jams and Jellies","Bread","Beer and Wine","Baking Goods","Vegetables","Pain Relievers","Hygiene","Seafood","","","","","","","","","",""
"Hot Beverages","Drinks","Dairy","Breakfast Foods","Frozen Desserts","Paper Products","Starchy Foods","","","","","","","","","","",""
"Magazines","Dairy","Frozen Entrees","Hardware","Bread","Canned Clams","Snack Foods","Plastic Products","Vegetables","Baking Goods","Meat","Bathroom Products","Breakfast Foods","","","","",""
"Packaged Vegetables","Meat","","","","","","","","","","","","","","","",""
"Baking Goods","Dairy","Frozen Desserts","Fruit","Vegetables","Snack Foods","Bread","Meat","","","","","","","","","",""
"Decongestants","Paper Products","Breakfast Foods","Dairy","","","","","","","","","","","","","",""
"Fruit","Vegetables","Dairy","","","","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Fruit","Vegetables","Bread","","","","","","","","","","","","","","",""
"Frozen Desserts","Beer and Wine","Snack Foods","Bread","Fruit","Seafood","","","","","","","","","","","",""
"Fruit","Packaged Vegetables","","","","","","","","","","","","","","","",""
"Beer and Wine","Vegetables","Cleaning Supplies","Paper Products","Snack Foods","","","","","","","","","","","","",""
"Bread","Bathroom Products","Frozen Desserts","Dairy","Canned Sardines","","","","","","","","","","","","",""
"Starchy Foods","Vegetables","Frozen Entrees","Jams and Jellies","Canned Soup","Meat","Fruit","Beer and Wine","","","","","","","","","",""
"Breakfast Foods","Frozen Desserts","Canned Soup","","","","","","","","","","","","","","",""
"Specialty","Canned Shrimp","Electrical","Bathroom Products","Paper Products","","","","","","","","","","","","",""
"Canned Shrimp","Snack Foods","Dairy","Side Dishes","Pure Juice Beverages","","","","","","","","","","","","",""
"Pain Relievers","Electrical","Beer and Wine","Fruit","Pure Juice Beverages","Side Dishes","","","","","","","","","","","",""
"Miscellaneous","Hot Beverages","Dairy","Canned Soup","Vegetables","","","","","","","","","","","","",""
"Pure Juice Beverages","Dairy","Paper Products","","","","","","","","","","","","","","",""
"Cleaning Supplies","Vegetables","Hot Beverages","Fruit","Meat","Eggs","Seafood","","","","","","","","","","",""
"Fruit","Dairy","Pain Relievers","Specialty","Vegetables","","","","","","","","","","","","",""
"Snack Foods","Plastic Products","Beer and Wine","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Canned Soup","","","","","","","","","","","","","","",""
"Fruit","Dairy","Starchy Foods","Vegetables","","","","","","","","","","","","","",""
"Baking Goods","Bread","Fruit","Breakfast Foods","Canned Soup","Frozen Desserts","","","","","","","","","","","",""
"Vegetables","Dairy","Meat","Breakfast Foods","","","","","","","","","","","","","",""
"Frozen Desserts","Breakfast Foods","Vegetables","Snack Foods","Hygiene","Kitchen Products","","","","","","","","","","","",""
"Dairy","Cleaning Supplies","Snack Foods","","","","","","","","","","","","","","",""
"Vegetables","Breakfast Foods","Bread","Baking Goods","Starchy Foods","Candles","Frozen Desserts","Hot Beverages","Snack Foods","Jams and Jellies","","","","","","","",""
"Dairy","Starchy Foods","Snack Foods","Specialty","Canned Anchovies","","","","","","","","","","","","",""
"Vegetables","Bread","Baking Goods","Meat","","","","","","","","","","","","","",""
"Meat","Fruit","Hygiene","","","","","","","","","","","","","","",""
"Vegetables","Candy","Bathroom Products","Drinks","Snack Foods","Frozen Desserts","Bread","","","","","","","","","","",""
"Vegetables","Carbonated Beverages","Snack Foods","Kitchen Products","Specialty","Dairy","","","","","","","","","","","",""
"Pain Relievers","Jams and Jellies","Beer and Wine","Starchy Foods","Baking Goods","Drinks","","","","","","","","","","","",""
"Breakfast Foods","Carbonated Beverages","","","","","","","","","","","","","","","",""
"Pizza","Starchy Foods","Dairy","","","","","","","","","","","","","","",""
"Vegetables","Pure Juice Beverages","Fruit","","","","","","","","","","","","","","",""
"Baking Goods","Vegetables","Jams and Jellies","Beer and Wine","Snack Foods","Breakfast Foods","","","","","","","","","","","",""
"Baking Goods","Cold Remedies","Electrical","","","","","","","","","","","","","","",""
"Vegetables","Jams and Jellies","Carbonated Beverages","","","","","","","","","","","","","","",""
"Baking Goods","Snack Foods","Frozen Desserts","Candy","Paper Products","","","","","","","","","","","","",""
"Hot Beverages","Pure Juice Beverages","Dairy","Canned Soup","Vegetables","Hardware","Side Dishes","","","","","","","","","","",""
"Cold Remedies","Vegetables","","","","","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Specialty","Bathroom Products","Frozen Desserts","Fruit","Electrical","Dairy","","","","","","","","","","","",""
"Breakfast Foods","Fruit","Bread","Canned Shrimp","Cleaning Supplies","Jams and Jellies","Meat","Snack Foods","","","","","","","","","",""
"Vegetables","Hardware","Snack Foods","Frozen Entrees","Specialty","Electrical","Hygiene","Baking Goods","Bread","","","","","","","","",""
"Snack Foods","Drinks","Vegetables","Baking Goods","Fruit","","","","","","","","","","","","",""
"Pure Juice Beverages","Vegetables","Meat","","","","","","","","","","","","","","",""
"Dairy","Canned Soup","Candy","Meat","","","","","","","","","","","","","",""
"Pure Juice Beverages","Bread","Fruit","Specialty","Meat","","","","","","","","","","","","",""
"Fruit","Frozen Desserts","Baking Goods","Canned Soup","Vegetables","","","","","","","","","","","","",""
"Hot Beverages","Snack Foods","Meat","Side Dishes","Eggs","Hardware","Dairy","","","","","","","","","","",""
"Vegetables","Snack Foods","Cleaning Supplies","Canned Tuna","","","","","","","","","","","","","",""
"Fruit","Plastic Products","","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Dairy","","","","","","","","","","","","","","",""
"Frozen Desserts","Vegetables","Pain Relievers","Beer and Wine","Bathroom Products","Kitchen Products","Jams and Jellies","","","","","","","","","","",""
"Breakfast Foods","Starchy Foods","","","","","","","","","","","","","","","",""
"Dairy","Beer and Wine","Snack Foods","Vegetables","","","","","","","","","","","","","",""
"Canned Clams","Snack Foods","Vegetables","Frozen Desserts","Hygiene","Hot Beverages","Jams and Jellies","Meat","","","","","","","","","",""
"Snack Foods","Pizza","Dairy","Bread","Breakfast Foods","Canned Soup","","","","","","","","","","","",""
"Hygiene","Baking Goods","","","","","","","","","","","","","","","",""
"Bread","Frozen Desserts","Fruit","Vegetables","Jams and Jellies","Snack Foods","Pure Juice Beverages","Dairy","Hardware","Starchy Foods","","","","","","","",""
"Canned Soup","Carbonated Beverages","Magazines","Vegetables","Frozen Entrees","Meat","Frozen Desserts","","","","","","","","","","",""
"Vegetables","Canned Soup","Fruit","","","","","","","","","","","","","","",""
"Baking Goods","Vegetables","Electrical","Meat","","","","","","","","","","","","","",""
"Meat","Dairy","Decongestants","Pizza","Breakfast Foods","Cleaning Supplies","","","","","","","","","","","",""
"Baking Goods","Meat","Pain Relievers","Snack Foods","","","","","","","","","","","","","",""
"Carbonated Beverages","Snack Foods","Vegetables","Frozen Desserts","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Hardware","Baking Goods","Bread","Dairy","Canned Soup","Vegetables","Frozen Desserts","","","","","","","","",""
"Starchy Foods","","","","","","","","","","","","","","","","",""
"Snack Foods","Dairy","Fruit","","","","","","","","","","","","","","",""
"Pure Juice Beverages","Breakfast Foods","Snack Foods","Meat","Dairy","","","","","","","","","","","","",""
"Vegetables","Snack Foods","","","","","","","","","","","","","","","",""
"Canned Sardines","Snack Foods","Decongestants","Jams and Jellies","Cold Remedies","Hot Beverages","","","","","","","","","","","",""
"Fruit","Eggs","Canned Soup","Pizza","Jams and Jellies","","","","","","","","","","","","",""
"Baking Goods","","","","","","","","","","","","","","","","",""
"Eggs","Breakfast Foods","Jams and Jellies","Electrical","Vegetables","Baking Goods","Hot Beverages","Pure Juice Beverages","","","","","","","","","",""
"Vegetables","Canned Soup","Bread","Candy","Specialty","Canned Clams","Dairy","","","","","","","","","","",""
"Bread","Magazines","Baking Goods","Electrical","Jams and Jellies","Vegetables","","","","","","","","","","","",""
"Hygiene","Starchy Foods","Vegetables","","","","","","","","","","","","","","",""
"Frozen Entrees","Meat","Pure Juice Beverages","","","","","","","","","","","","","","",""
"Starchy Foods","Vegetables","Beer and Wine","Jams and Jellies","Frozen Desserts","Canned Clams","Kitchen Products","","","","","","","","","","",""
"Specialty","Paper Products","Cleaning Supplies","Vegetables","Bread","","","","","","","","","","","","",""
"Meat","","","","","","","","","","","","","","","","",""
"Vegetables","Hygiene","Meat","Bathroom Products","Hot Beverages","Jams and Jellies","Candy","Pizza","","","","","","","","","",""
"Fruit","Pain Relievers","","","","","","","","","","","","","","","",""
"Jams and Jellies","Vegetables","Dairy","Canned Soup","Breakfast Foods","Magazines","","","","","","","","","","","",""
"Meat","Jams and Jellies","Specialty","Bread","Frozen Desserts","","","","","","","","","","","","",""
"Frozen Desserts","Breakfast Foods","Candy","Dairy","","","","","","","","","","","","","",""
"Jams and Jellies","Electrical","Canned Soup","","","","","","","","","","","","","","",""
"Eggs","Starchy Foods","Snack Foods","Paper Products","Cleaning Supplies","Kitchen Products","Vegetables","","","","","","","","","","",""
"Canned Soup","Candy","Snack Foods","Pure Juice Beverages","Bread","","","","","","","","","","","","",""
"Jams and Jellies","Meat","Bread","Dairy","Frozen Desserts","Snack Foods","","","","","","","","","","","",""
"Vegetables","Frozen Entrees","Kitchen Products","Jams and Jellies","Magazines","","","","","","","","","","","","",""
"Beer and Wine","Plastic Products","Snack Foods","Vegetables","Eggs","Specialty","Canned Oysters","","","","","","","","","","",""
"Vegetables","Meat","","","","","","","","","","","","","","","",""
"Hygiene","Meat","Pizza","","","","","","","","","","","","","","",""
"Snack Foods","Pizza","Meat","Paper Products","","","","","","","","","","","","","",""
"Meat","Beer and Wine","Vegetables","Breakfast Foods","","","","","","","","","","","","","",""
"Vegetables","Fruit","Meat","","","","","","","","","","","","","","",""
"Plastic Products","Frozen Desserts","Frozen Entrees","Bathroom Products","Paper Products","","","","","","","","","","","","",""
"Kitchen Products","Vegetables","Seafood","Candy","","","","","","","","","","","","","",""
"Vegetables","Fruit","Jams and Jellies","","","","","","","","","","","","","","",""
"Meat","Cleaning Supplies","Candy","Breakfast Foods","Snack Foods","","","","","","","","","","","","",""
"Frozen Desserts","Dairy","Canned Soup","Eggs","Snack Foods","Fruit","Vegetables","","","","","","","","","","",""
"Eggs","Fruit","Dairy","Vegetables","Snack Foods","Hot Beverages","Canned Soup","Breakfast Foods","Paper Products","Cleaning Supplies","Candy","","","","","","",""
"Paper Products","Side Dishes","Vegetables","Drinks","Fruit","Carbonated Beverages","","","","","","","","","","","",""
"Side Dishes","Pizza","Miscellaneous","Vegetables","Dairy","Candy","Hardware","Fruit","","","","","","","","","",""
"Vegetables","Snack Foods","","","","","","","","","","","","","","","",""
"Snack Foods","Beer and Wine","Dairy","Vegetables","Jams and Jellies","Paper Products","Meat","Eggs","","","","","","","","","",""
"Snack Foods","Breakfast Foods","Canned Soup","","","","","","","","","","","","","","",""
"Fruit","Vegetables","Pizza","","","","","","","","","","","","","","",""
"Paper Products","Electrical","Kitchen Products","Bathroom Products","Eggs","Snack Foods","Jams and Jellies","Magazines","Candles","Vegetables","","","","","","","",""
"Hardware","Baking Goods","Snack Foods","Canned Soup","","","","","","","","","","","","","",""
"Hygiene","Meat","Pain Relievers","","","","","","","","","","","","","","",""
"Meat","Starchy Foods","Baking Goods","","","","","","","","","","","","","","",""
"Snack Foods","Meat","","","","","","","","","","","","","","","",""
"Meat","Paper Products","Snack Foods","Canned Tuna","Beer and Wine","","","","","","","","","","","","",""
"Specialty","Plastic Products","Starchy Foods","Vegetables","Frozen Desserts","Kitchen Products","Jams and Jellies","Snack Foods","Eggs","Baking Goods","","","","","","","",""
"Snack Foods","Meat","Cleaning Supplies","Specialty","Fruit","Decongestants","","","","","","","","","","","",""
"Beer and Wine","Paper Products","Baking Goods","Snack Foods","Dairy","","","","","","","","","","","","",""
"Candy","Vegetables","Miscellaneous","","","","","","","","","","","","","","",""
"Bathroom Products","Vegetables","Frozen Entrees","Snack Foods","","","","","","","","","","","","","",""
"Plastic Products","Pure Juice Beverages","Specialty","Snack Foods","","","","","","","","","","","","","",""
"Jams and Jellies","Baking Goods","Snack Foods","Vegetables","Dairy","Bathroom Products","","","","","","","","","","","",""
"Electrical","Kitchen Products","","","","","","","","","","","","","","","",""
"Fruit","","","","","","","","","","","","","","","","",""
"Vegetables","Specialty","Kitchen Products","Snack Foods","Breakfast Foods","","","","","","","","","","","","",""
"Starchy Foods","Vegetables","","","","","","","","","","","","","","","",""
"Candy","Pizza","Starchy Foods","Dairy","Beer and Wine","Snack Foods","Vegetables","","","","","","","","","","",""
"Canned Soup","Paper Products","Breakfast Foods","Baking Goods","Dairy","","","","","","","","","","","","",""
"Decongestants","Bread","","","","","","","","","","","","","","","",""
"Fruit","","","","","","","","","","","","","","","","",""
"Canned Soup","Kitchen Products","Starchy Foods","Candles","","","","","","","","","","","","","",""
"Specialty","Jams and Jellies","","","","","","","","","","","","","","","",""
"Electrical","Drinks","","","","","","","","","","","","","","","",""
"Canned Soup","Bread","Dairy","Pure Juice Beverages","Carbonated Beverages","","","","","","","","","","","","",""
"Specialty","Baking Goods","Electrical","","","","","","","","","","","","","","",""
"Jams and Jellies","Paper Products","","","","","","","","","","","","","","","",""
"Dairy","Snack Foods","","","","","","","","","","","","","","","",""
"Pizza","Breakfast Foods","Snack Foods","Jams and Jellies","","","","","","","","","","","","","",""
"Bathroom Products","Electrical","","","","","","","","","","","","","","","",""
"Bread","Side Dishes","Kitchen Products","","","","","","","","","","","","","","",""
"Pain Relievers","Canned Soup","Seafood","Starchy Foods","Snack Foods","Bathroom Products","Baking Goods","Fruit","Jams and Jellies","Meat","Vegetables","Bread","","","","","",""
"Kitchen Products","Carbonated Beverages","Snack Foods","Vegetables","Frozen Entrees","Hot Beverages","Jams and Jellies","","","","","","","","","","",""
"Beer and Wine","Breakfast Foods","Pure Juice Beverages","","","","","","","","","","","","","","",""
"Dairy","Frozen Desserts","Cleaning Supplies","Vegetables","","","","","","","","","","","","","",""
"Canned Soup","Beer and Wine","Candy","Fruit","Bread","Pain Relievers","Electrical","Pizza","","","","","","","","","",""
"Vegetables","Cold Remedies","","","","","","","","","","","","","","","",""
"Snack Foods","Meat","Specialty","Starchy Foods","Dairy","","","","","","","","","","","","",""
"Bathroom Products","Dairy","Candy","","","","","","","","","","","","","","",""
"Pizza","Decongestants","Snack Foods","Jams and Jellies","Vegetables","","","","","","","","","","","","",""
"Vegetables","Breakfast Foods","Cleaning Supplies","","","","","","","","","","","","","","",""
"Meat","Beer and Wine","Specialty","Vegetables","Electrical","Paper Products","","","","","","","","","","","",""
"Snack Foods","Vegetables","","","","","","","","","","","","","","","",""
"Fruit","Magazines","Kitchen Products","Vegetables","Snack Foods","Pure Juice Beverages","","","","","","","","","","","",""
"Frozen Desserts","Dairy","Fruit","Snack Foods","Pain Relievers","","","","","","","","","","","","",""
"Meat","Canned Sardines","Canned Shrimp","Dairy","Vegetables","","","","","","","","","","","","",""
"Meat","Vegetables","Frozen Desserts","Dairy","","","","","","","","","","","","","",""
"Hardware","","","","","","","","","","","","","","","","",""
"Drinks","Jams and Jellies","","","","","","","","","","","","","","","",""
"Beer and Wine","Breakfast Foods","Dairy","Kitchen Products","","","","","","","","","","","","","",""
"Bathroom Products","Seafood","Hot Beverages","Bread","Fruit","Canned Soup","Pain Relievers","Vegetables","","","","","","","","","",""
"Meat","Canned Anchovies","","","","","","","","","","","","","","","",""
"Eggs","Starchy Foods","Snack Foods","","","","","","","","","","","","","","",""
"Pain Relievers","Snack Foods","Cleaning Supplies","Vegetables","Meat","Dairy","Specialty","Paper Products","Electrical","","","","","","","","",""
"Vegetables","Pizza","Bathroom Products","Canned Soup","Dairy","Meat","","","","","","","","","","","",""
"Frozen Desserts","Breakfast Foods","Hygiene","","","","","","","","","","","","","","",""
"Beer and Wine","Meat","Baking Goods","Hygiene","Dairy","","","","","","","","","","","","",""
"Snack Foods","Pizza","Decongestants","Electrical","Vegetables","Hot Beverages","Baking Goods","Eggs","","","","","","","","","",""
"Baking Goods","Bathroom Products","Snack Foods","Drinks","","","","","","","","","","","","","",""
"Paper Products","","","","","","","","","","","","","","","","",""
"Fruit","Paper Products","Baking Goods","Dairy","Starchy Foods","Magazines","Cleaning Supplies","Electrical","Snack Foods","Jams and Jellies","","","","","","","",""
"Baking Goods","Canned Soup","Electrical","","","","","","","","","","","","","","",""
"Dairy","Breakfast Foods","Side Dishes","Frozen Desserts","Baking Goods","Snack Foods","Vegetables","","","","","","","","","","",""
"Paper Products","Kitchen Products","Snack Foods","","","","","","","","","","","","","","",""
"Snack Foods","Hot Beverages","Candy","Canned Tuna","Vegetables","Meat","Beer and Wine","Frozen Desserts","","","","","","","","","",""
"Dairy","Canned Soup","","","","","","","","","","","","","","","",""
"Canned Shrimp","Pizza","Fruit","Bread","Vegetables","Meat","Canned Anchovies","Dairy","Paper Products","Seafood","Frozen Desserts","Snack Foods","","","","","",""
"Vegetables","Paper Products","Breakfast Foods","Pain Relievers","Beer and Wine","","","","","","","","","","","","",""
"Pure Juice Beverages","Snack Foods","Kitchen Products","","","","","","","","","","","","","","",""
"Hygiene","Fruit","Canned Clams","Snack Foods","Vegetables","Jams and Jellies","","","","","","","","","","","",""
"Frozen Desserts","Bathroom Products","Bread","Jams and Jellies","","","","","","","","","","","","","",""
"Beer and Wine","Snack Foods","Breakfast Foods","","","","","","","","","","","","","","",""
"Fruit","Vegetables","Meat","Candy","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Breakfast Foods","Canned Soup","Baking Goods","","","","","","","","","","","","",""
"Vegetables","Pure Juice Beverages","","","","","","","","","","","","","","","",""
"Electrical","Candy","Vegetables","Frozen Entrees","Paper Products","Jams and Jellies","","","","","","","","","","","",""
"Canned Soup","Eggs","Vegetables","Fruit","","","","","","","","","","","","","",""
"Canned Soup","Bathroom Products","","","","","","","","","","","","","","","",""
"Magazines","Pain Relievers","Dairy","Pure Juice Beverages","Hygiene","Snack Foods","Fruit","Cleaning Supplies","Breakfast Foods","Beer and Wine","Candy","Vegetables","","","","","",""
"Plastic Products","Snack Foods","Vegetables","Starchy Foods","Breakfast Foods","Cleaning Supplies","Bread","Meat","Fruit","Baking Goods","","","","","","","",""
"Starchy Foods","Hygiene","Dairy","Snack Foods","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Carbonated Beverages","Jams and Jellies","Vegetables","Dairy","","","","","","","","","","","",""
"Vegetables","Snack Foods","Bread","Dairy","Candy","","","","","","","","","","","","",""
"Canned Soup","Packaged Vegetables","Jams and Jellies","Meat","","","","","","","","","","","","","",""
"Electrical","","","","","","","","","","","","","","","","",""
"Canned Clams","Dairy","","","","","","","","","","","","","","","",""
"Snack Foods","Hardware","Specialty","Vegetables","Starchy Foods","Fruit","Bathroom Products","Jams and Jellies","Electrical","","","","","","","","",""
"Meat","Canned Sardines","Canned Shrimp","Dairy","","","","","","","","","","","","","",""
"Dairy","Baking Goods","Fruit","Starchy Foods","Vegetables","Frozen Entrees","Beer and Wine","Kitchen Products","","","","","","","","","",""
"Dairy","Snack Foods","Bathroom Products","Hardware","","","","","","","","","","","","","",""
"Paper Products","Carbonated Beverages","Vegetables","Breakfast Foods","Baking Goods","","","","","","","","","","","","",""
"Baking Goods","Candy","Kitchen Products","Snack Foods","Decongestants","Canned Soup","","","","","","","","","","","",""
"Vegetables","Hot Beverages","Snack Foods","Starchy Foods","Baking Goods","Bathroom Products","Dairy","Breakfast Foods","","","","","","","","","",""
"Pizza","Breakfast Foods","Paper Products","Snack Foods","","","","","","","","","","","","","",""
"Hardware","Snack Foods","Fruit","Electrical","Breakfast Foods","","","","","","","","","","","","",""
"Jams and Jellies","","","","","","","","","","","","","","","","",""
"Snack Foods","Jams and Jellies","Frozen Desserts","Paper Products","","","","","","","","","","","","","",""
"Canned Soup","Snack Foods","Candy","Paper Products","Bread","Hot Beverages","Fruit","","","","","","","","","","",""
"Meat","Vegetables","Beer and Wine","Breakfast Foods","","","","","","","","","","","","","",""
"Carbonated Beverages","Dairy","Vegetables","Meat","","","","","","","","","","","","","",""
"Dairy","Snack Foods","","","","","","","","","","","","","","","",""
"Electrical","Meat","Side Dishes","Candy","","","","","","","","","","","","","",""
"Miscellaneous","","","","","","","","","","","","","","","","",""
"Bathroom Products","Side Dishes","Snack Foods","Bread","Paper Products","Vegetables","","","","","","","","","","","",""
"Snack Foods","Breakfast Foods","Drinks","Paper Products","","","","","","","","","","","","","",""
"Breakfast Foods","Dairy","Fruit","Paper Products","Pain Relievers","Meat","","","","","","","","","","","",""
"Fruit","Pure Juice Beverages","","","","","","","","","","","","","","","",""
"Paper Products","Canned Sardines","Hardware","Vegetables","Pain Relievers","Frozen Entrees","","","","","","","","","","","",""
"Baking Goods","Frozen Desserts","Seafood","Bathroom Products","Dairy","Vegetables","Side Dishes","","","","","","","","","","",""
"Snack Foods","Candy","Side Dishes","","","","","","","","","","","","","","",""
"Jams and Jellies","Candy","Fruit","Snack Foods","Vegetables","Meat","","","","","","","","","","","",""
"Vegetables","Jams and Jellies","Snack Foods","","","","","","","","","","","","","","",""
"Bread","Snack Foods","Meat","","","","","","","","","","","","","","",""
"Specialty","Fruit","Jams and Jellies","Baking Goods","Snack Foods","Plastic Products","Breakfast Foods","","","","","","","","","","",""
"Beer and Wine","Breakfast Foods","Frozen Desserts","","","","","","","","","","","","","","",""
"Candy","Vegetables","Carbonated Beverages","Snack Foods","Meat","","","","","","","","","","","","",""
"Meat","Electrical","Canned Tuna","Side Dishes","","","","","","","","","","","","","",""
"Paper Products","Snack Foods","Bathroom Products","Canned Soup","Jams and Jellies","","","","","","","","","","","","",""
"Fruit","Beer and Wine","Vegetables","Paper Products","Electrical","Snack Foods","","","","","","","","","","","",""
"Canned Shrimp","Dairy","Fruit","Snack Foods","","","","","","","","","","","","","",""
"Dairy","Meat","Seafood","Snack Foods","","","","","","","","","","","","","",""
"Bread","Drinks","Fruit","Snack Foods","","","","","","","","","","","","","",""
"Candy","Hardware","Electrical","Pure Juice Beverages","Vegetables","Dairy","Meat","","","","","","","","","","",""
"Bathroom Products","Vegetables","Fruit","Breakfast Foods","Meat","","","","","","","","","","","","",""
"Vegetables","Fruit","Specialty","","","","","","","","","","","","","","",""
"Candy","Pizza","Magazines","Snack Foods","Paper Products","Jams and Jellies","Cleaning Supplies","Carbonated Beverages","Fruit","","","","","","","","",""
"Baking Goods","Bread","Breakfast Foods","Vegetables","","","","","","","","","","","","","",""
"Dairy","Snack Foods","Vegetables","Eggs","Candy","Canned Shrimp","","","","","","","","","","","",""
"Plastic Products","Beer and Wine","Bread","","","","","","","","","","","","","","",""
"Electrical","Meat","Dairy","Eggs","Snack Foods","","","","","","","","","","","","",""
"Snack Foods","Dairy","","","","","","","","","","","","","","","",""
"Dairy","Baking Goods","Fruit","Starchy Foods","Frozen Entrees","Beer and Wine","Kitchen Products","","","","","","","","","","",""
"Paper Products","Snack Foods","Fruit","Bathroom Products","","","","","","","","","","","","","",""
"Canned Soup","Candy","Magazines","","","","","","","","","","","","","","",""
"Snack Foods","Baking Goods","Beer and Wine","Bathroom Products","Dairy","","","","","","","","","","","","",""
"Canned Anchovies","Bathroom Products","Starchy Foods","Beer and Wine","Cleaning Supplies","Breakfast Foods","","","","","","","","","","","",""
"Snack Foods","Candy","","","","","","","","","","","","","","","",""
"Meat","Jams and Jellies","Kitchen Products","Canned Soup","Pure Juice Beverages","","","","","","","","","","","","",""
"Canned Tuna","Jams and Jellies","Frozen Entrees","","","","","","","","","","","","","","",""
"Canned Soup","Eggs","Vegetables","Snack Foods","","","","","","","","","","","","","",""
"Vegetables","Dairy","Drinks","Canned Anchovies","","","","","","","","","","","","","",""
"Beer and Wine","Meat","Snack Foods","Bathroom Products","Magazines","Canned Soup","Eggs","","","","","","","","","","",""
"Dairy","Vegetables","Snack Foods","Meat","Candles","Jams and Jellies","Side Dishes","Paper Products","","","","","","","","","",""
"Breakfast Foods","Meat","Fruit","","","","","","","","","","","","","","",""
"Meat","Drinks","Jams and Jellies","Candy","Starchy Foods","Dairy","","","","","","","","","","","",""
"Starchy Foods","Dairy","Baking Goods","","","","","","","","","","","","","","",""
"Cold Remedies","Breakfast Foods","Dairy","Snack Foods","Bread","Hot Beverages","","","","","","","","","","","",""
"Magazines","Vegetables","Pizza","Snack Foods","","","","","","","","","","","","","",""
"Snack Foods","Breakfast Foods","Specialty","","","","","","","","","","","","","","",""
"Bread","Starchy Foods","","","","","","","","","","","","","","","",""
"Fruit","Kitchen Products","Jams and Jellies","Magazines","Beer and Wine","Vegetables","Cleaning Supplies","","","","","","","","","","",""
"Seafood","Snack Foods","Dairy","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Bread","","","","","","","","","","","","","","",""
"Plastic Products","Starchy Foods","Frozen Entrees","Vegetables","Canned Soup","Magazines","","","","","","","","","","","",""
"Snack Foods","Kitchen Products","Fruit","Vegetables","Candy","Frozen Desserts","","","","","","","","","","","",""
"Meat","Canned Shrimp","Vegetables","Dairy","","","","","","","","","","","","","",""
"Dairy","Hot Beverages","Fruit","Candy","Breakfast Foods","Pizza","Starchy Foods","Paper Products","","","","","","","","","",""
"Canned Clams","Drinks","Baking Goods","Vegetables","Dairy","","","","","","","","","","","","",""
"Dairy","Snack Foods","Hygiene","Candles","","","","","","","","","","","","","",""
"Plastic Products","Pure Juice Beverages","Frozen Desserts","Carbonated Beverages","Hot Beverages","","","","","","","","","","","","",""
"Baking Goods","Snack Foods","Cleaning Supplies","Bathroom Products","Breakfast Foods","","","","","","","","","","","","",""
"Vegetables","Canned Soup","Jams and Jellies","Carbonated Beverages","","","","","","","","","","","","","",""
"Frozen Desserts","Carbonated Beverages","Cleaning Supplies","Snack Foods","","","","","","","","","","","","","",""
"Candles","Fruit","Canned Clams","Dairy","Snack Foods","Vegetables","Electrical","","","","","","","","","","",""
"Fruit","Vegetables","Pain Relievers","Kitchen Products","Snack Foods","","","","","","","","","","","","",""
"Jams and Jellies","Canned Soup","","","","","","","","","","","","","","","",""
"Paper Products","Dairy","Canned Oysters","Specialty","Breakfast Foods","Candy","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Vegetables","Paper Products","Seafood","","","","","","","","","","","","","","",""
"Magazines","","","","","","","","","","","","","","","","",""
"Dairy","Hardware","Beer and Wine","Frozen Entrees","Fruit","Vegetables","Jams and Jellies","","","","","","","","","","",""
"Frozen Entrees","Pizza","Frozen Desserts","Meat","Breakfast Foods","Canned Oysters","","","","","","","","","","","",""
"Baking Goods","Meat","Breakfast Foods","","","","","","","","","","","","","","",""
